,quote,author,category,quote_norm
4836,Getting loved by yourself is the best thing that can happen to you. After all your heart is a part of you. Before being someone else's.,Minhal Mehdi,"best, heart, inspiration, life, love, loved, someone, thing, yourself",Getting loved by yourself is the best thing that can happen to you. After all your heart is a part of you. Before being someone else's.
4837,"Good bones of Bonesville,"" Sherlock Bones said. ""If you know what you fear, you'll fear it less.","Jean-Luc Fromental, Bonesville","educational-philosophy, truth, truth-quotes","Good bones of Bonesville,"" Sherlock Bones said. ""If you know what you fear, you will fear it less."
4838,"The oldest profession [prostitution] is the most honest, for it exposes the bare bones of what civilization is all about. It's the root of all professions.","Daniel Suelo, The Man Who Quit Money","1997, 2012, civilization, commerce, commercialism, prostitution, sex-work","The oldest profession prostitution is the most honest, for it exposes the bare bones of what civilization is all about. It is the root of all professions."
4839,"The more genuinely creative [the writer] is, the more he will want his work to develop in accordance with its own nature, and to stand independent of himself","Dorothy L. Sayers, The Mind of the Maker","creativity, god, trinitarian, writing, writing-process","The more genuinely creative the writer is, the more he will want his work to develop in accordance with its own nature, and to stand independent of himself"
4840,There is no reality other than perceptual reality.,Debasish Mridha,"debasish-mridha, debasish-mridha-m-d, inspirational, no-reality, perceptual-reality, philosophy, quotes, reality",There is no reality other than perceptual reality.
4841,"I have two homes, like someone who leaves their hometown and/or parents and then establishes a life elsewhere. They might say that they're going home when they return to see old friends or parents, but then they go home as well when they go to where they live now. Sarajevo is home, Chicago is home.",Aleksandar Hemon,"Life, Friends, Parents ","I have two homes, like someone who leaves their hometown andor parents and then establishes a life elsewhere. They might say that they are going home when they return to see old friends or parents, but then they go home as well when they go to where they live now. Sarajevo is home, Chicago is home."
4842,"About four days a week, I do pretty good at having a morning prayer time. But even at that, it's a rambling sort of thing. What I have learned to do better is to try to keep my mind turned toward God and ear inclined toward God throughout the day, and I think I'm doing better at that, but I've got a long way to go.",Max Lucado,"Time, Good, God ","About four days a week, I do pretty good at having a morning prayer time. But even at that, it is a rambling sort of thing. What I have learned to do better is to try to keep my mind turned toward God and ear inclined toward God throughout the day, and I think I am doing better at that, but I have got a long way to go."
4843,"Thanks to television, for the first time the young are seeing history made before it is censored by their elders.",Margaret Mead,"Time, Thankful, Television ","Thanks to television, for the first time the young are seeing history made before it is censored by their elders."
4844,"Giving your friends the evil eye, as you attempt to convince them that they took you away from your book, and it was awesome.",Love The Stacks Bookstore,book-quotes,"Giving your friends the evil eye, as you attempt to convince them that they took you away from your book, and it was awesome."
4845,"Everything inside me screams for just one more kiss, one more word, one more glance, one more.",Veronica Roth,"allegiant, feelings, made-me-die-scenes","Everything inside me screams for just one more kiss, one more word, one more glance, one more."
4846,"You'll do well, Percy. Just remember your strengths and beware your weaknesses.","Rick Riordan, The Last Olympian","advice, chiron, inspirational","You will do well, Percy. Just remember your strengths and beware your weaknesses."
4847,"Approaching the Start of Civil ExamsPerhaps I was once a young Chinese scholarapproaching the start of civil exams,my mind grown weary and sad from seclusionwith books on syntax and poetic style.All that I knew were the mist-covered mountainsand sweet white blossoms of mountain applesthat grew in the valleys of my province.But I had been gone over six yearsbusy with studies in the Heavenly Cityempty and thin despite my work.I showed my verses to an older poetwho told me a truth I longed to believe:all knowledge is futile and barrenwhich does not open the love of your friends.",Jim Chapson,"barren, blossoms, books, busy, chinese, friendship, futile, knowledge, love, mist, mountains, poet, poetic, sad, scholar, seclusion, style, sweet, syntax, truth, verses, weary, work","Approaching the Start of Civil ExamsPerhaps I was once a young Chinese scholarapproaching the start of civil exams,my mind grown weary and sad from seclusionwith books on syntax and poetic style.All that I knew were the mist-covered mountainsand sweet white blossoms of mountain applesthat grew in the valleys of my province.But I had been gone over six yearsbusy with studies in the Heavenly Cityempty and thin despite my work.I showed my verses to an older poetwho told me a truth I longed to believe:all knowledge is futile and barrenwhich does not open the love of your friends."
4848,"If you reflect often on how His Atonement has changed you, and if you give thanks often, you will find that your witness of Him gains power to touch the hearts of others. When those you invite out of your own testimony feel that witness, they will come to accept Him as their Lord and Savior.",Henry B. Eyring,"Power, Thanks, You ","If you reflect often on how His Atonement has changed you, and if you give thanks often, you will find that your witness of Him gains power to touch the hearts of others. When those you invite out of your own testimony feel that witness, they will come to accept Him as their Lord and Savior."
4849,"Cherish your existence, for memories become legacies and life can change in an instant.",Ross Caligiuri,"7, agency, ailee, anne, ara, arrant, blear, bray, bretta, brielle, cady, caligiuri, cave, consciousness, constance, creel, dalt, davina, defected, deryn, dr, dream, dreaming, dreams, edmonds, evelyn, fallow, grace, grane, jack, jejung, kieran, lace, layla, lily, lucas, machine, malaphin, memories, mentality, metaphysical, mind, nora, obsidia, otto, outsiders, phoenix, program, rebellion, rebels, rising, romance, ross, science-fiction, secora, seven, shades, shadows, sirt, sonant, stellan, subconscious, sun, thoughts, time, traxton, trim, tusk, vera, visionary, will, willow","Cherish your existence, for memories become legacies and life can change in an instant."
4850,"Never forget your roots, it's the foundation that builds your existence and the secret to your future.",Cherry MPIO,"existence, origin, root","Never forget your roots, it is the foundation that builds your existence and the secret to your future."
4851,"Valor consists in the power of self-recovery, so that a man cannot have his flank turned, cannot be out-generalled, but put him where you will, he stands. This can only be by his preferring truth to his past apprehension of truth; and his alert acceptance of it, from whatever quarter; the intrepid conviction that his laws, his relations to society, his Christianity, his world may at any time be superseded and decease.",Ralph Waldo Emerson,"circles, courage, fortitude, strength, valor","Valor consists in the power of self-recovery, so that a man cannot have his flank turned, cannot be out-generalled, but put him where you will, he stands. This can only be by his preferring truth to his past apprehension of truth; and his alert acceptance of it, from whatever quarter; the intrepid conviction that his laws, his relations to society, his Christianity, his world may at any time be superseded and decease."
4852,Il pessimismo radicale sconfina nell'ottimismo.,"Guido Morselli, Dissipatio H.G.",philosophy,Il pessimismo radicale sconfina nell'ottimismo.
4853,Taking a lifetime to grow up.,"Larry Smith, Not Quite What I Was Planning: Six-Word Memoirs by Writers Famous and Obscure",growing-up,Taking a lifetime to grow up.
4854,"He preferred to give in the light,because whenit was dark, he was afraid his giving would go unnoticed",Charmaine J. Forde,"afraid, dark, give, light, preferred, unnoticed","He preferred to give in the light,because whenit was dark, he was afraid his giving would go unnoticed"
4855,"Obviously, all religions fall far short of their own ideals.","Ernest Becker, The Denial of Death","existentialism, religion","Obviously, all religions fall far short of their own ideals."
4856,"If you two yentas are finished discussing Claire’s rabid who-ha, me and the boys would like to eat sometime this century.""""You and 'the boys?' You just met them today. Does the Ya Ya Brotherhood already have a secret handshake and a password?"" Liz joked.","Tara Sivec, Seduction and Snacks",humorous-quotes,"If you two yentas are finished discussing Claires rabid who-ha, me and the boys would like to eat sometime this century.""""You and 'the boys?' You just met them today. Does the Ya Ya Brotherhood already have a secret handshake and a password?"" Liz joked."
4857,"I need not describe the feelings of those whose dearest ties are rent by that most irreparable evil, the void that presents itself to the soul, and the despair that is exhibited on the countenance. It is so long before the mind can persuade itself that she whom we saw everyday and whose very existence appeared a part of our own can have departed forever - that the brightness of a beloved eye can have been extinguished and the sound of a voice so familiar and dear to the ear can be hushed, never more to be heard. (...) The time at length arrives when grief is rather an indulgence than a necessity; and the smile that plays upon the lips, although it may be deemed a sacrilege, is not banished.","Mary Wollstonecraft Shelley, Mary Shelley's Frankenstein",grief,"I need not describe the feelings of those whose dearest ties are rent by that most irreparable evil, the void that presents itself to the soul, and the despair that is exhibited on the countenance. It is so long before the mind can persuade itself that she whom we saw everyday and whose very existence appeared a part of our own can have departed forever - that the brightness of a beloved eye can have been extinguished and the sound of a voice so familiar and dear to the ear can be hushed, never more to be heard. ... The time at length arrives when grief is rather an indulgence than a necessity; and the smile that plays upon the lips, although it may be deemed a sacrilege, is not banished."
4858,She really is a shining star. Imagine how far she's come since she was on the farm in Ohio. She's our Cinderella horse.I can't wait to start riding again.Will my leg work as well as it did before the surgery. What if it doesn't work at all?,"Deanie Humphrys-Dunne, Tails of Sweetbrier","autobiograpy, horses, kids, riding",She really is a shining star. Imagine how far she is come since she was on the farm in Ohio. She is our Cinderella horse.I cannot wait to start riding again.Will my leg work as well as it did before the surgery. What if it does not work at all?
4859,"If we constantly focus only on the stones in our mortal path, we willalmost surely miss the beautiful flower or cool stream provided by theloving Father who outlined our journey. Each day can bring more joythan sorrow when our mortal and spiritual eyes are open to God'sgoodness. Joy in the gospel is not something that begins only in thenext life. It is our privilege now, this very day. We must never allowour burdens to obscure our blessings. There will always be moreblessings than burdens--even if some days it doesn't seem so. Jesussaid, ""I am come that they might have life, and that they might have itmore abundantly."" Enjoy those blessings right now. They are yours andalways will be.",Jeffrey R. Holland,inspirational,"If we constantly focus only on the stones in our mortal path, we willalmost surely miss the beautiful flower or cool stream provided by theloving Father who outlined our journey. Each day can bring more joythan sorrow when our mortal and spiritual eyes are open to God'sgoodness. Joy in the gospel is not something that begins only in thenext life. It is our privilege now, this very day. We must never allowour burdens to obscure our blessings. There will always be moreblessings than burdens--even if some days it does not seem so. Jesussaid, ""I am come that they might have life, and that they might have itmore abundantly."" Enjoy those blessings right now. They are yours andalways will be."
4860,"Where God gives opportunity for preaching it is more than likely that he has some people to convert. Usually the Word of God takes root among some, though often in but a few.","Thomas Goodwin, What Happens When I Pray","bible, god, jesus, spiritual, thomas-goodwin","Where God gives opportunity for preaching it is more than likely that he has some people to convert. Usually the Word of God takes root among some, though often in but a few."
4861,The biggest magic of the world is DEATH.,Shilpa Dasgupta,"death-and-dying, death-quotes, inspirational-quotes, philosophy, philosophy-of-life, philosophy-quotes",The biggest magic of the world is DEATH.
4862,"In general, sharing and using things decreases their value. However, knowledge increases by implementation and especially by sharing among people.",Eraldo Banovac,"knowledge, knowledge-quotes, motivational-quotes, philosophy, philosophy-quotes, sociology, sociology-quotes","In general, sharing and using things decreases their value. However, knowledge increases by implementation and especially by sharing among people."
4863,"Let me ask you a question Alex. What do you think is the greatest evil on this plant today?""""Is that including, or not including you?","Anthony Horowitz, Eagle Strike","humor, sarcasm","Let me ask you a question Alex. What do you think is the greatest evil on this plant today?""""Is that including, or not including you?"
4864,"Allowing both negative and positive thoughts to arise in life and acknowledging them for what they are, a secondary reaction within to what is happening outside, we grant our emotions free passage within without allowing external influences to impede our personal happiness. We cannot have control over everything that occurs in life, but that is simply not the goal, for we have control only over our relationship that we have with life.",Forrest Curran,"inspirational, motivational, peace, philosophy, spiritual, wisdom, zen","Allowing both negative and positive thoughts to arise in life and acknowledging them for what they are, a secondary reaction within to what is happening outside, we grant our emotions free passage within without allowing external influences to impede our personal happiness. We cannot have control over everything that occurs in life, but that is simply not the goal, for we have control only over our relationship that we have with life."
4865,"The power to reach our goal is always in the moment. When the moment arrives, be ready to perform the action that will help you reach your goal, and be aware when the moment is now.",Russell Eric Dobda,"action, goals, in-the-moment, manifestation","The power to reach our goal is always in the moment. When the moment arrives, be ready to perform the action that will help you reach your goal, and be aware when the moment is now."
4866,"Forget your past,Use your pain;Accept that pain,And Achieve the gain.",Nitesh Nishad,"achievement, forgetting, gain, happiness, humorous, inspirational, pain, past, useful","Forget your past,Use your pain;Accept that pain,And Achieve the gain."
4867,"It's time, my childrenWhen the waves rise high When the waters run deepWhen the clock strikes midnightYou'll feel the mark of Zero HourAnd you'll never be the same again","Lisa Mangum, The Hourglass Door","lisa-mangum, music, the-hourglass-door, zero-hour","It is time, my childrenWhen the waves rise high When the waters run deepWhen the clock strikes midnightYou'll feel the mark of Zero HourAnd you will never be the same again"
4868,"Head to toe, Ben pressed up against her, and Darcy wanted to rub along him.There wasn’t room for her to move.Her back was against the cabinet and counter, and Ben was all over her front.Would it be wrong to purr? She wondered.","Samantha Chase, Holiday Spice","christmas-romance, contemporary-romance","Head to toe, Ben pressed up against her, and Darcy wanted to rub along him.There was not room for her to move.Her back was against the cabinet and counter, and Ben was all over her front.Would it be wrong to purr? She wondered."
4869,One cannot know everything.,Horace,knowledge,One cannot know everything.
4870,"I’d love to step off this well-trodden straight and boring path. To somehow live differently, think different thoughts, feel different feelings than others. It wouldn’t bother me to be as alone as a tree on the plains. My leaves would be like no other tree’s.","Gyula Krúdy, Sunflower","individuality, life, living","Id love to step off this well-trodden straight and boring path. To somehow live differently, think different thoughts, feel different feelings than others. It would not bother me to be as alone as a tree on the plains. My leaves would be like no other trees."
4871,"My doctors warned me repeatedly that if you don't stay positive, you don't do well.",Vince Flynn,"Me, You, Well ","My doctors warned me repeatedly that if you do not stay positive, you do not do well."
4872,"A good education is that which prepares us for our future sphere of action and makes us contented with that situation in life in which God, in his infinite mercy, has seen fit to place us, to be perfectly resigned to our lot in life, whatever it may be.",Ann Plato,"Life, Future, Good ","A good education is that which prepares us for our future sphere of action and makes us contented with that situation in life in which God, in his infinite mercy, has seen fit to place us, to be perfectly resigned to our lot in life, whatever it may be."
4873,"I meditate; therefore, you live.",Neo Shamon,"anger-management, funny, life, meditation","I meditate; therefore, you live."
4874,"It's rewarding if you have an opportunity to do something or to serve, you always give in your best. The world has changed, yes! But that shouldn't make you behave otherwise to the detriment of yourself or your neighbor. What you sow is what you get, sow good seed into people and you will get the best from them. Also, being honest will not get you a lot of friends, but surely it will get you the right ones.",Chidiebere Prosper Agbugba,"great, honesty, inspirational-quotes, motivation, seed","It is rewarding if you have an opportunity to do something or to serve, you always give in your best. The world has changed, yes! But that should not make you behave otherwise to the detriment of yourself or your neighbor. What you sow is what you get, sow good seed into people and you will get the best from them. Also, being honest will not get you a lot of friends, but surely it will get you the right ones."
4875,"Great love, you believe, carries the seeds of great sorrow.","Anne Fortier, Juliet","juliet, love, romeo-and-juliet, sorrow","Great love, you believe, carries the seeds of great sorrow."
4876,"We are a generation of lovers who long to be loved. We spend exorbitant amounts of money to compel others to delight in us. We construct our ideal life on Facebook because we are unsatisfied with our real life, which is tainted with boredom, loneliness, insecurity, and a lack of friends and followers . We do not enjoy the person God created us to be or the life God has gifted us with. We think we are overweight, underweight, too pale, too dark, too plain, or just plain boring. Yet we crave to be delighted in by a significant other. So we pursue misguided avenues to make ourselves delightful, to satisfy our craving to be loved.Charis: God's Scandalous Grace for Us (pp. 118-119).",Preston Sprinkle,"fulfillment, god, grace, jesus, jesus-christ, love, satisfaction","We are a generation of lovers who long to be loved. We spend exorbitant amounts of money to compel others to delight in us. We construct our ideal life on Facebook because we are unsatisfied with our real life, which is tainted with boredom, loneliness, insecurity, and a lack of friends and followers . We do not enjoy the person God created us to be or the life God has gifted us with. We think we are overweight, underweight, too pale, too dark, too plain, or just plain boring. Yet we crave to be delighted in by a significant other. So we pursue misguided avenues to make ourselves delightful, to satisfy our craving to be loved.Charis: God's Scandalous Grace for Us pp. 118-119."
4877,A vision is a promise of the future as seen in the present.,Mensah Oteh,"abundance-quotes, accountability-quotes, action-quotes, appreciation-quotes, celebration-quotes, dreams-quotes, failure-quotes, focus-quotes, friendship-quotes, gratitude-quotes, greatness-quotes, growth-quotes, habits-quotes, happiness-quotes, influence-quotes, inspirational-quotes, life-quotes, love-quotes, people-quotes, perspective-quotes, potential-quotes, questions-quotes, relationships-quotes, success-quotes, thinking-quotes, time-quote, vision-quotes, winning-quotes, wisdom-quotes",A vision is a promise of the future as seen in the present.
4878,"Most successful people chose the path and did the things in their own way, against all the rules and guidelines, but we are everyday told to follow the rules to be a successful person.","M.F. Moonzajer, LOVE, HATRED AND MADNESS","follow, path, people, rules, successful","Most successful people chose the path and did the things in their own way, against all the rules and guidelines, but we are everyday told to follow the rules to be a successful person."
4879,"Having authored numerous and pretty versatile write-ups, I can’t say that anything other than my soul, heart and life experience can be called a prominent part of every book I ever wrote",Sahara Sanders,"authors-on-books, authors-on-writing, writers-on-writing, writers-quotes","Having authored numerous and pretty versatile write-ups, I cannot say that anything other than my soul, heart and life experience can be called a prominent part of every book I ever wrote"
4880,"Scorpions are quite ruthless, you know. That is why Artemis bid one of them to kill her foe Orion. And as a reward she set the scorpion on up in the sky. I'm not ruthless. I merely do whatever it takes to achive my goalsThat's not ruthless?","Lisa Kleypas, Tempt Me at Twilight",goals,"Scorpions are quite ruthless, you know. That is why Artemis bid one of them to kill her foe Orion. And as a reward she set the scorpion on up in the sky. I am not ruthless. I merely do whatever it takes to achive my goalsThat's not ruthless?"
4881,Wasn’t it correct in America to call a man ‘handsome’ rather than ‘beautiful’?,"Edmund White, Our Young Man","beautiful, handsome, man",Was Not it correct in America to call a man handsome rather than beautiful?
4882,An ounce of action is worth a ton of theory.,Friedrich Engels,action,An ounce of action is worth a ton of theory.
4883,"One last characteristic of the memoir that is important to recognize is one which also applies to essays, and which Georg Lukacs described as ""the process of judging."" This may seem problematic to some, since...we connect it with 'judgmental,' often used nowadays as a derogatory word. But the kind of judgment necessary to the good personal essay, or to the memoir, is not that nasty tendency to oversimplify and dismiss other people out of hand but rather the willingness to form and express complex opinions, both positive and negative.If the charm of memoir is that we, the readers, see the author struggling to understand her past, then we must also see the author trying out opinions she may later shoot down, only to try out others as she takes a position about the meaning of her story. The memoirist need not necessarily know what she thinks about her subject but she must be trying to find out; she may never arrive at a definitive verdict, but she must be willing to share her intellectual and emotional quest for answers. Without this attempt to make a judgment, the voice lacks interest, the stories, becalmed in the doldrums of neutrality, become neither fiction nor memoir, and the reader loses respect for the writer who claims the privilege of being the hero in her own story without meeting her responsibility to pursue meaning. Self revelation without analysis or understanding becomes merely an embarrassment to both reader and writer.","Judith Barrington, Writing the Memoir","memoir, writing-life","One last characteristic of the memoir that is important to recognize is one which also applies to essays, and which Georg Lukacs described as ""the process of judging."" This may seem problematic to some, since...we connect it with 'judgmental,' often used nowadays as a derogatory word. But the kind of judgment necessary to the good personal essay, or to the memoir, is not that nasty tendency to oversimplify and dismiss other people out of hand but rather the willingness to form and express complex opinions, both positive and negative.If the charm of memoir is that we, the readers, see the author struggling to understand her past, then we must also see the author trying out opinions she may later shoot down, only to try out others as she takes a position about the meaning of her story. The memoirist need not necessarily know what she thinks about her subject but she must be trying to find out; she may never arrive at a definitive verdict, but she must be willing to share her intellectual and emotional quest for answers. Without this attempt to make a judgment, the voice lacks interest, the stories, becalmed in the doldrums of neutrality, become neither fiction nor memoir, and the reader loses respect for the writer who claims the privilege of being the hero in her own story without meeting her responsibility to pursue meaning. Self revelation without analysis or understanding becomes merely an embarrassment to both reader and writer."
4884,If there is anything good about nobility it is that it enforces the necessity of avoiding degeneracy,Boethius,"degeneration, evil, goodness, nobility",If there is anything good about nobility it is that it enforces the necessity of avoiding degeneracy
4885,Open your eyesOpen your earsOpen your mindOpen your heartThey are your portals to joy,"Lisa Cypers Kamen, Are We Happy Yet?: Eight Keys to Unlocking a Joyful Life","happiness, keys-to-happiness, open-mindedness, where-happiness-lives",Open your eyesOpen your earsOpen your mindOpen your heartThey are your portals to joy
4886,"Right then I wasn't a freak. I wasn't an ice queen. I didn't have powers. What I had was a friend comforting me when I needed it most. Right then I was just a normal girl, and Ryan was the superhero.","Kelly Oram, Being Jamie Baker","girl, life, love, superhero","Right then I was not a freak. I was not an ice queen. I did not have powers. What I had was a friend comforting me when I needed it most. Right then I was just a normal girl, and Ryan was the superhero."
4887,"It was brave,"" countered Issa. ""It was rare. It was love, and it was beautiful.","Laini Taylor, Days of Blood & Starlight","issa, love","It was brave,"" countered Issa. ""It was rare. It was love, and it was beautiful."
4888,"As Aristotle said, 'Excellence is a habit.' I would say furthermore that excellence is made constant through the feeling that comes right after one has completed a work which he himself finds undeniably awe-inspiring. He only wants to relax until he's ready to renew such a feeling all over again because to him, all else has become absolutely trivial.","Criss Jami, Killosophy","accomplishment, aristotle, artist, awe-inspiring, awesome, creativity, energy, excellence, exhaustion, habit, hard-work, perseverance, pride, quality, quality-over-quantity, relaxation, success, trivial, work","As Aristotle said, 'Excellence is a habit.' I would say furthermore that excellence is made constant through the feeling that comes right after one has completed a work which he himself finds undeniably awe-inspiring. He only wants to relax until he is ready to renew such a feeling all over again because to him, all else has become absolutely trivial."
4889,Forget about being impressive and commit to being real. Because being real is impressive!,"Jonathan Harnisch, Jonathan Harnisch: An Alibiography","being-real, impressive, inspirational-quote, inspirational-quotes, life-and-living, life-lesson, life-lessons, life-philosophy, positive-quotes, real-life, reality-of-life",Forget about being impressive and commit to being real. Because being real is impressive!
4890,A leader only follows a better leader than himself.,MD. Muhtashimur Rahman,"forbidden-verses, idea, leadership, loyalty, motivation, power, professionalism, results, thought",A leader only follows a better leader than himself.
4891,"Whether it is the best of times or the worst of times, it is the only time we have. ",Art Buchwald,"carpe-diem, present","Whether it is the best of times or the worst of times, it is the only time we have."
4892,Science is a hammer for change.,J.J. Brown,science,Science is a hammer for change.
4893,"I'm just shocked and thankful that I've gotten away with everything - experimenting here, trying at this, failing at that, being good in some things, not so good in others. It's kind of amazing that people are still sticking by me. When they come up to me in the street, I just want to write them all cheques.",Michael Keaton,"Thankful, Good, Me ","I am just shocked and thankful that I have gotten away with everything - experimenting here, trying at this, failing at that, being good in some things, not so good in others. It is kind of amazing that people are still sticking by me. When they come up to me in the street, I just want to write them all cheques."
4894,"How small and neat and comically serious the other men looked, with their grey-flecked crew cuts and their button-down collars and their brisk little hurrying feet! There were endless desperate swarms of them, hurrying through the station and the streets, and an hour from now they would all be still. The waiting mid-town office buildings would swallow them up and contain them, so that to stand in one tower looking out across the canyon to another would be to inspect a great silent insectarium displaying hundreds of tiny pink men in white shirts, forever shifting papers and frowning into telephones, acting out their passionate little dumb show under the supreme indifference of the rolling spring clouds.","Richard Yates, Revolutionary Road","button-down, clouds, crew-cut, desperate, hurrying, indifferent, men, revolutionary-road","How small and neat and comically serious the other men looked, with their grey-flecked crew cuts and their button-down collars and their brisk little hurrying feet! There were endless desperate swarms of them, hurrying through the station and the streets, and an hour from now they would all be still. The waiting mid-town office buildings would swallow them up and contain them, so that to stand in one tower looking out across the canyon to another would be to inspect a great silent insectarium displaying hundreds of tiny pink men in white shirts, forever shifting papers and frowning into telephones, acting out their passionate little dumb show under the supreme indifference of the rolling spring clouds."
4895,"Do what you have to do when you have to do it, so that you can do what you want to do when you want to do it.",M.K.,inspirational-life,"Do what you have to do when you have to do it, so that you can do what you want to do when you want to do it."
4896,"An acceptable death is a death which can be accepted or tolerated by the survivors. It has its antithesis: ‘the embarrassingly graceless dying,’ which embarrasses the survivors because it causes too strong an emotion to burst forth; and emotions must be avoided both in the hospital and everywhere in society. One does not have the right to become emotional other than in private, that is to say, secretly.","Philippe Ariès, Western Attitudes toward Death: From the Middle Ages to the Present",death-and-dying,"An acceptable death is a death which can be accepted or tolerated by the survivors. It has its antithesis: the embarrassingly graceless dying, which embarrasses the survivors because it causes too strong an emotion to burst forth; and emotions must be avoided both in the hospital and everywhere in society. One does not have the right to become emotional other than in private, that is to say, secretly."
4897,"Men,you say you want a strong, intelligent, truly independent woman who wants you rather than needs you, who inspires you, who pushes you towards being yourself, who can stick by you through the hardest times, and who can be your rock through life's obstacles.But you need to know that a truly strong, independent woman does not walk through life with her heart wide open. She has had to put up walls to block toxicity to obtain her strength. She is skeptical and always on alert from a lifetime of defense against predators. She is going to be a bit jaded, a little cynical, and a little scary because those qualities come with the struggle of obtaining that strength that gravitates you. She is going to doubt and question your good intentions because it has become her adaptability instincts that have allowed her to thrive.She is not a ball of sunshine. She has flaws. She has a past. She has her demons. She knows better than to just let down her barriers for you simply because you voice a desire to enter. You have to prove your right of entrance. She will assume the worst of you because the worst has happened. If you want her to see otherwise, prove her wrong.",Maggie Georgiana Young,"feminism, feminist-quotes, independent-women, love, love-quotes, maggie-young-quotes, relationship-quotes, strong-women","Men,you say you want a strong, intelligent, truly independent woman who wants you rather than needs you, who inspires you, who pushes you towards being yourself, who can stick by you through the hardest times, and who can be your rock through life's obstacles.But you need to know that a truly strong, independent woman does not walk through life with her heart wide open. She has had to put up walls to block toxicity to obtain her strength. She is skeptical and always on alert from a lifetime of defense against predators. She is going to be a bit jaded, a little cynical, and a little scary because those qualities come with the struggle of obtaining that strength that gravitates you. She is going to doubt and question your good intentions because it has become her adaptability instincts that have allowed her to thrive.She is not a ball of sunshine. She has flaws. She has a past. She has her demons. She knows better than to just let down her barriers for you simply because you voice a desire to enter. You have to prove your right of entrance. She will assume the worst of you because the worst has happened. If you want her to see otherwise, prove her wrong."
4898,"A dragon for a familiar!"" Trom exclaimed.""That's what I said to her or close to it anyway,"" the dragon said.""You're supposed to be helping me make you my familiar,"" I said to the dragon.""Yeah, I know; I meant for that to sound better than it did,"" the dragon replied.","Jennifer Priester, Mortal Realm Witch: Learning about Magic","air-raid, ally, dragon-familiar, dragons, familiars, jennifer-priester, mortal-realm-witch, trom, witches","A dragon for a familiar!"" Trom exclaimed.""That is what I said to her or close to it anyway,"" the dragon said.""You are supposed to be helping me make you my familiar,"" I said to the dragon.""Yeah, I know; I meant for that to sound better than it did,"" the dragon replied."
4899,"If a book falls in the woods and nobody read it, was it ever written?",Neil Leckman,"humorous, writers-on-writing","If a book falls in the woods and nobody read it, was it ever written?"
4900,The road to failure is wide.The road to mediocrity is smooth.The road to success is bumpy.The road to genius is narrow.The road to greatness is steep.,Matshona Dhliwayo,greatness-quotes,The road to failure is wide.The road to mediocrity is smooth.The road to success is bumpy.The road to genius is narrow.The road to greatness is steep.
4901,No bird soars too high if he soars on his own wings.,William Blake,"self, reliance",No bird soars too high if he soars on his own wings.
4902,Time never changes—only we change. We measure the changes of our lives and think that we are measuring time. We are just measuring the movement of the earth.,Debasish Mridha,"changes-of-our-lives, debasish-mridha, debasish-mridha-m-d, definition-of-time, inspirational, measuring-time, movement-of-the-earth, philosophy, quotes, time, what-is-time",Time never changesonly we change. We measure the changes of our lives and think that we are measuring time. We are just measuring the movement of the earth.
4903,Spiritual relationship is far more precious than physical. Physical relationship divorced from spiritual is body without soul.,Mahatma Gandhi,"Spiritual, Soul, Body ",Spiritual relationship is far more precious than physical. Physical relationship divorced from spiritual is body without soul.
4904,The wit taught by God to the beeIs withheld from the lion and the wild ass.,"Jalaluddin Rumi, Selected Poems",wit,The wit taught by God to the beeIs withheld from the lion and the wild ass.
4905,"No matter how many movies you watch, songs you listen to, and friends you talk to, you will never understand heartbreak. You want to disappear, crying feels like bleeding, the world is spinning. You watch a movie you have seen ten times, a song you’ve listened to a hundred times and a friend you’ve been talking to for a thousand days and suddenly it’s like your hearing everything for the first time. For the first time you’ve opened your heart and your mind, you want to listen, you want to heal others. For the first time you feel destroyed. The word pain cannot do what you are feeling justice. It is beyond pain, beyond fury, beyond sadness. You feel everything but nothing at once. Shocked. Numb. Empty. But I had also felt compassion that day, empathy for a heart that I had once broke. Love for all of those who had not broken my heart. Appreciation for all of those who had mended hearts. Happiness for all who had secured their hearts. The day that I first met heartbreak, the day that I got my heart snatched away from me, happens to be the day that I first found my heart as well.",Everance Caiser,"heartbreak, inspirational, love, optimism","No matter how many movies you watch, songs you listen to, and friends you talk to, you will never understand heartbreak. You want to disappear, crying feels like bleeding, the world is spinning. You watch a movie you have seen ten times, a song you have listened to a hundred times and a friend you have been talking to for a thousand days and suddenly its like your hearing everything for the first time. For the first time you have opened your heart and your mind, you want to listen, you want to heal others. For the first time you feel destroyed. The word pain cannot do what you are feeling justice. It is beyond pain, beyond fury, beyond sadness. You feel everything but nothing at once. Shocked. Numb. Empty. But I had also felt compassion that day, empathy for a heart that I had once broke. Love for all of those who had not broken my heart. Appreciation for all of those who had mended hearts. Happiness for all who had secured their hearts. The day that I first met heartbreak, the day that I got my heart snatched away from me, happens to be the day that I first found my heart as well."
4906,Hope is the seed of happiness.,Lailah Gifty Akita,"happiness, hope, joy, life-lesson",Hope is the seed of happiness.
4907,Broken heart will turn into a stronger one within hope.,"Toba Beta, My Ancestor Was an Ancient Astronaut","better, broken-heart, hope",Broken heart will turn into a stronger one within hope.
