,quote,author,category,quote_norm
40,"Shhh,” he whispered, his breath hot at her ear. His cock was hot too, poised at her entrance. “Like this. I want to fuck you just like this. From behind. With your clothes on and your tits out and people on the street below completely oblivious. Stay really quiet.” He flexed then and pushed himself inside her but not all the way. “Oh god yes, fuuuuck.","Amy Andrews, Playing With Forever","amy-andrews, quotes, ryder, sports-romance, sydney-smoke-rugby-series","Shhh, he whispered, his breath hot at her ear. His cock was hot too, poised at her entrance. Like this. I want to fuck you just like this. From behind. With your clothes on and your tits out and people on the street below completely oblivious. Stay really quiet. He flexed then and pushed himself inside her but not all the way. Oh god yes, fuuuuck."
41,"Every great architect is - necessarily - a great poet. He must be a great original interpreter of his time, his day, his age.",Frank Lloyd Wright,"Time, Architecture, Great ","Every great architect is - necessarily - a great poet. He must be a great original interpreter of his time, his day, his age."
42,"However, in many instances we might be very wise to ask what the consequence of removing the consequence might actually be.",Craig D. Lounsbrough,wisdom-quotes,"However, in many instances we might be very wise to ask what the consequence of removing the consequence might actually be."
43,"Broad-Based Education:Reed College at that time offered perhaps the best calligraphy instruction in the country.… I decided to take a calligraphy class to learn how to do this.… Itwas beautiful, historical, artistically subtle in a way that science can’t capture, and I found it fascinating. None of this had even a hope of any practicalapplication in my life. But ten years later, when we were designing the first Macintosh computer, it all came back to me.—Commencement address, Stanford University,June 12, 2005","George Beahm, I, Steve: Steve Jobs In His Own Words","biography, inspirational","Broad-Based Education:Reed College at that time offered perhaps the best calligraphy instruction in the country.... I decided to take a calligraphy class to learn how to do this.... Itwas beautiful, historical, artistically subtle in a way that science cannot capture, and I found it fascinating. None of this had even a hope of any practicalapplication in my life. But ten years later, when we were designing the first Macintosh computer, it all came back to me.Commencement address, Stanford University,June 12, 2005"
44,"By holding on to God at all times, we can remain calm and enjoy peace in us even in the middle of our storms.",Latika Teotia,"faith, god, peace, storms, trust","By holding on to God at all times, we can remain calm and enjoy peace in us even in the middle of our storms."
45,"As long as you continue to be in positive control of your thoughts and beliefs, your life will never seize to be a beautiful journey.",,"a-beautiful-journey, edmond-mbiaka","As long as you continue to be in positive control of your thoughts and beliefs, your life will never seize to be a beautiful journey."
46,Grace saved my life, it can revolutionize yours.,"Jay Bakker, Fall to Grace: A Revolution of God, Self & Society",Grace saved my life
47,"Our stories must be written, shared and communicated.","Lailah Gifty Akita, Think Great: Be Great!","abilities, educational-philosophy, fairly-tales, lifelong-learner, passion, self-motivation, stories, wisdom-of-lailah-gifty-akita, writers, writing, writing-process","Our stories must be written, shared and communicated."
48,"Great leaders understand the importance of assigning the right people to the right positions. If you put the wrong person in the wrong place, no matter how talented or earnest they are, they will never reach the peak of their potential. Their strengths will be underutilized and they may never measure up to your expectations. Reassign to get the best out of others and the situation.",Susan C. Young,"change, communication, empowerment, flourishing, life-balance, mindset, optimism, personal-growth, positive-psychology, reassign, resilience, self-help, self-improvement, speaker-susan-young, stress-management, stress-relief, success, thrive-in-times-of-change, www-susanspeaks-com","Great leaders understand the importance of assigning the right people to the right positions. If you put the wrong person in the wrong place, no matter how talented or earnest they are, they will never reach the peak of their potential. Their strengths will be underutilized and they may never measure up to your expectations. Reassign to get the best out of others and the situation."
49,"Good enough may be an acceptable end, but it should never be an acceptable goal.",James Rozoff,"effort, goal-setting, goals, success","Good enough may be an acceptable end, but it should never be an acceptable goal."
50,"When the women begin to take an active part in the struggle, no power on earth can stop us from achieving freedom in our lifetime.","Nelson Mandela, Long Walk to Freedom","feminism, freedom, power, women","When the women begin to take an active part in the struggle, no power on earth can stop us from achieving freedom in our lifetime."
51,"All his life he would cherish the memory of an endless caravan of camels alongside the railway line, the laden beasts plodding patiently through the snow, ignoring the twentieth century as it hurtled past them in a clash of iron and a shriek of steam.","Ken Follett, Fall of Giants",philosophical,"All his life he would cherish the memory of an endless caravan of camels alongside the railway line, the laden beasts plodding patiently through the snow, ignoring the twentieth century as it hurtled past them in a clash of iron and a shriek of steam."
52,"Hello my darling, I’m your real father. I’ve been searching for you ever since you were stolen from me. I love you so much. Daddy","Sanjida Kay, The Stolen Child","atlantic-books, crime, psychological-thriller, sanjida-kay, suspense, the-stolen-child, thriller","Hello my darling, I Am your real father. I Have been searching for you ever since you were stolen from me. I love you so much. Daddy"
53,"I did not myself set a high estimation on wealth, and had the affectation of most young men of lively imagination, who suppose that they can better dispense with the possession of money, than resign their time and faculties to the labour necessary to acquire it.","Walter Scott, Rob Roy","wealth, work","I did not myself set a high estimation on wealth, and had the affectation of most young men of lively imagination, who suppose that they can better dispense with the possession of money, than resign their time and faculties to the labour necessary to acquire it."
54,"Don’t take to heart, any negative criticism. Focus on positive thoughts","Lailah Gifty Akita, Think Great: Be Great!","christain-life, criticism, faith, hope, inspirational, lailah-gifty-akita-affirmations, mindset, negative-influence, positive-thinking, self-confidence, self-esteem, self-help, self-love, thoughts","Do Not take to heart, any negative criticism. Focus on positive thoughts"
55,"Memorizing facts and then regurgitating them into carefully crafted words is not science people. It’s intellectual bulimia. Real science happens when we explore what we don’t know. The first law of understanding the human brain and the mind within, is to be an explorer.","Abhijit Naskar, Neurosutra: The Abhijit Naskar Collection","brain, consciousness, intellectual, mind, neuroscience, science","Memorizing facts and then regurgitating them into carefully crafted words is not science people. Its intellectual bulimia. Real science happens when we explore what we do not know. The first law of understanding the human brain and the mind within, is to be an explorer."
56,"If we wed, Milady, you will belong to me. Your rank will be my rank, and your station will be this croft. I hold that a husband must have his way with his wife in his bed and in his house, and that if she refuses him his way, he must chastise her until she is ready to please him. You will card, and you will spin, and you will cook what I bring in to you, and when I call you to my bed, you will come, and I will have my way.","Emily Tilton, Tamed by the Highlander","bdsm, highlander","If we wed, Milady, you will belong to me. Your rank will be my rank, and your station will be this croft. I hold that a husband must have his way with his wife in his bed and in his house, and that if she refuses him his way, he must chastise her until she is ready to please him. You will card, and you will spin, and you will cook what I bring in to you, and when I call you to my bed, you will come, and I will have my way."
57,It must be an odd person indeed that can say for certain they are normal.,"Initially NO, Percipience: Outside the Range of Understood Sense","acceptance, certainty, empathy, normal, odd, person, psychology, quip",It must be an odd person indeed that can say for certain they are normal.
58,"It marked the beginning and, of course, an end. At that moment a chapter, no, a whole stage of my closed. Had I known, and had there been a spare second or two, I might have allowed myself a little nostalgia.","Ian McEwan, Enduring Love",nostalgia,"It marked the beginning and, of course, an end. At that moment a chapter, no, a whole stage of my closed. Had I known, and had there been a spare second or two, I might have allowed myself a little nostalgia."
59,"In the animal kingdom, the rule is, eat or be eaten; in the human kingdom, define or be defined.",Thomas Szasz,"conflict, psychology","In the animal kingdom, the rule is, eat or be eaten; in the human kingdom, define or be defined."
60,"If the Christian is a restorationist, a legalist, if he wants everything clear and safe, then he will find nothing. Tradition and memory of the past must help us to have the courage to open up new areas to God.",Pope Francis,"God, Memory, Past ","If the Christian is a restorationist, a legalist, if he wants everything clear and safe, then he will find nothing. Tradition and memory of the past must help us to have the courage to open up new areas to God."
61,"As they perform this ritual, I almost have to turn away, thinking again what a boomeranging, out-of-body experience it is to watch a religious childhood from the outside, when before I was in the very marrow of it.","Patricia Lockwood, Priestdaddy: A Memoir","religion, religious, religious-childhood","As they perform this ritual, I almost have to turn away, thinking again what a boomeranging, out-of-body experience it is to watch a religious childhood from the outside, when before I was in the very marrow of it."
62,Accept me for who I am.,Lailah Gifty Akita,"accept, acceptable, acceptance, acceptance-of-oneself, accepting-life, who-are-you, who-i-am, who-your-are",Accept me for who I am.
63,Just relax and breathe through your ass.,"Lewis Black, Me of Little Faith","comedy, funny, humor, noremorse",Just relax and breathe through your ass.
64,One cannot read a novel without ascribing to the heroine the traits of the one we love.,"Alain de Botton, How Proust Can Change Your Life","life-lessons, literature",One cannot read a novel without ascribing to the heroine the traits of the one we love.
65,"Training is an active, dynamic process lived out daily in all areas of life- not a rote exercise in memorizing verses and going to church every week.","Craig Groeschel, Weird: Because Normal Isn't Working","a-rote, active, all, an, and, areas, church, daily, dynamic, every, exercise, going, in, is, life, lived, memorizing, not, of, out, process, to, training, verses, week","Training is an active, dynamic process lived out daily in all areas of life- not a rote exercise in memorizing verses and going to church every week."
66,"I'm strong on the outside, not all the way through. I've never been perfect, but neither have you.",Chester Bennington,insight,"I am strong on the outside, not all the way through. I have never been perfect, but neither have you."
67,"If you want a vision of the future, imagine a boot stamping on a human face - forever.",George Orwell,"Future, Vision, Want ","If you want a vision of the future, imagine a boot stamping on a human face - forever."
68,"The basic principle of health, well-being, and the action of healing is the presumption of prior perfection rather than the motivating problem. We must be established in the presumption that Truth is always already the case, and therefore, the perfect form of any condition is already, priorly, and presently true of it. It is not that ""I"" am a problem or disease to be cured (or a hopeless sinner to be saved). Rather, ""I"" am already and priorly one with the Perfect Condition and the perfect Form of all conditions that presently pertain, and ""I"" am simply operating in order to manifest it (or allow it to manifest itself) in the play of experience.","Adi Da Samraj, The Eating Gorilla Comes in Peace: The Transcendental Principle of Life Applied to Diet and the Regenerative Discipline of True Health","faith, health","The basic principle of health, well-being, and the action of healing is the presumption of prior perfection rather than the motivating problem. We must be established in the presumption that Truth is always already the case, and therefore, the perfect form of any condition is already, priorly, and presently true of it. It is not that ""I"" am a problem or disease to be cured or a hopeless sinner to be saved. Rather, ""I"" am already and priorly one with the Perfect Condition and the perfect Form of all conditions that presently pertain, and ""I"" am simply operating in order to manifest it or allow it to manifest itself in the play of experience."
69,I'm a great believer in luck. I find the harder I work  the more I have of it.,Stephen Leacock,great,I am a great believer in luck. I find the harder I work the more I have of it.
